WBAN,DewPointCelsius,DryBulbCelsius,RelativeHumidity,Visibility,WetBulbCelsius,WindDirection,WindSpeed,features,prediction
3749,4.9041290675416995,12.499083948591743,63.47320207820618,13.748165162701724,8.967692097347555,233.38255400601585,13.367701668033908,"[4.9041290675416995,12.499083948591743,63.47320207820618,13.748165162701724,8.967692097347555,233.38255400601585,13.367701668033908]",0
3918,7.812,16.03709090909091,60.38909090909091,14.945768181818265,11.56297272727273,113.29818181818182,6.010627272727268,"[7.812,16.03709090909091,60.38909090909091,14.945768181818265,11.56297272727273,113.29818181818182,6.010627272727268]",1
3997,5.6112037793071305,12.046798087017384,67.83296395660795,14.15039251137298,8.764749795870754,171.22535868424123,13.22342120611222,"[5.6112037793071305,12.046798087017384,67.83296395660795,14.15039251137298,8.764749795870754,171.22535868424123,13.22342120611222]",4
3179,7.512892968562516,17.294462443004555,59.93142548596112,13.019207463402978,12.122744180465562,144.65022798176145,8.149342452603786,"[7.512892968562516,17.294462443004555,59.93142548596112,13.019207463402978,12.122744180465562,144.65022798176145,8.149342452603786]",2
3704,9.21761829236056,13.99173936029606,76.44138250066085,14.673788659793912,11.582850911974642,139.62595823420565,7.014214908802529,"[9.21761829236056,13.99173936029606,76.44138250066085,14.673788659793912,11.582850911974642,139.62595823420565,7.014214908802529]",2
3703,11.332722176807211,15.814527618825187,77.42549340184515,14.935396473198754,13.436891276421818,153.98108139670677,10.283205068317175,"[11.332722176807211,15.814527618825187,77.42549340184515,14.935396473198754,13.436891276421818,153.98108139670677,10.283205068317175]",2
4725,2.6862011439466187,8.035033365109628,71.42457102001907,14.186791587226004,5.581827931363205,209.2153241182078,12.585794208770258,"[2.6862011439466187,8.035033365109628,71.42457102001907,14.186791587226004,5.581827931363205,209.2153241182078,12.585794208770258]",0
3124,-0.7123476548073326,17.388747999507576,36.46479133325126,15.92665209897832,8.767961344330914,170.37424596823834,13.365546596085196,"[-0.7123476548073326,17.388747999507576,36.46479133325126,15.92665209897832,8.767961344330914,170.37424596823834,13.365546596085196]",4
3026,0.8773115220483628,10.096680891417735,59.222083926031296,15.159033902323468,5.5456555239449985,199.50391180654339,19.332549786628764,"[0.8773115220483628,10.096680891417735,59.222083926031296,15.159033902323468,5.5456555239449985,199.50391180654339,19.332549786628764]",0
3936,5.8091148325358954,12.230107655502396,68.42511961722488,15.043082535885258,8.918032296650718,134.55382775119617,11.246769736842097,"[5.8091148325358954,12.230107655502396,68.42511961722488,15.043082535885258,8.918032296650718,134.55382775119617,11.246769736842097]",2
3706,7.567501656726313,13.629178263750845,70.94897282968853,15.056495029821171,10.63398939695163,142.71570576540756,7.72862889330682,"[7.567501656726313,13.629178263750845,70.94897282968853,15.056495029821171,10.63398939695163,142.71570576540756,7.72862889330682]",2
3013,0.004130408868757529,11.618184527357252,52.821075217546785,15.204217427583826,5.920210990582904,158.7573012277983,15.479167362021704,"[0.004130408868757529,11.618184527357252,52.821075217546785,15.204217427583826,5.920210990582904,158.7573012277983,15.479167362021704]",4
